slug,nama,jabatan,fraksi,dapil,perolehan_suara,komisi,badan_kerja,email,tempat_tgl_lahir,pendidikan,organisasi,lhkpn,,,,pekerjaan
t-zulkarnaini-ampon-bang,T. Zulkarnaini Ampon Bang,Anggota DPR RI 2024–2029,Partai Golongan Karya,ACEH I,91816,Komisi VII,,teuku.bang@dpr.go.id,"Peuleukung, 06 December 1949",1956 - 1962 — SD NEGERI 1 JEURAM; 1962 - 1966 — SMP NEGERI 1 JEURAM; 1966 - 1969 — SMA NEGERI 1 BLANG PIDIE; 1973 - 1976 — AKADEMI PEMERINTAHAN DALAM NEGERI (APDN) BANDA ACEH; 1978 - 1979 — FAKULTAS SOSIAL POLITIK SULTAN ISKANDAR MUDA,,,,,,"1983 - 1984 — BAGIAN PEMBINAAN SEKDA PROVINSI ACEH, Sebagai: KEPALA; 1984 - 1988 — DINAS PENDAPATAN KODYA SABANG, Sebagai: KEPALA; 1988 - 1991 — SEKSI PEMERINTAHAN UMUM KANTOR PEMBANTU GUBERNUR, Sebagai: KEPALA; 1991 - 1996 — CAMAT KECAMATAN DARUL MAKMUR KABUPATEN ACEH JAYA, Sebagai: CAMAT; 1996 - 1999 — DLLAJ KABUPATEN ACEH BARAT, Sebagai: KEPALA; 1999 - 2001 — KANSOSPOL KABUPATEN ACEH BARAT, Sebagai: KEPALA; 2001 - 2002 — BPM KABUPATEN ACEH BARAT, Sebagai: KEPALA; 2002 - 2006 — PEMKAB NAGAN RAYA, Sebagai: PJ BUPATI; 2007 - 2012 — PEMKAB NAGAN RAYA, Sebagai: BUPATI; 2012 - 2017 — PEMKAB NAGAN RAYA, Sebagai: BUPATI; Penghargaan; 2003 — SATYA LENCANA WIBAWA,; 2003 — SATYA LENCANA SAKTI,"
ilham-pangestu,Ilham Pangestu,Anggota DPR RI 2024–2029,Partai Golongan Karya,ACEH II,204199,Komisi IV,,ilham.pangestu@dpr.go.id,"Julok, 08 January 1979","- 2021 — Sekolah Tinngi Ilmu Ekonomi IBMT, Sarjana Manajemen; -; 1985 - 1991 — SDN 05 Kota Langsa; 1991 - 1994 — SMP Muhammadiyah Kota Langsa; 1994 - 1997 — STM Setia Budi Balikpapan",,,,,,"2014 - 2017 — Anggota DPR Kabupaten Langsa, Sebagai: Anggota; 2019 - 2024 — Anggota DPR RI, Sebagai: Anggota; Penghargaan; Tidak ada data"
samsul-bahri-tiyong,Samsul Bahri Tiyong,Anggota DPR RI 2024–2029,Partai Golongan Karya,ACEH II,86109,Komisi XIII,,samsul.tiyong@dpr.go.id,"Samalanga, 20 January 1972","2007 - 2008 — PKBM AL IKHLAS, IPS",,,,,,Tidak ada data; Penghargaan
musa-rajekshah,Musa Rajekshah,Anggota DPR RI 2024–2029,Partai Golongan Karya,SUMATERA UTARA I,190990,Komisi V,BKSAP,musa.rajekshah@dpr.go.id,"Medan, 01 April 1974","1980 - 1986 — Harapan Medan; 1986 - 1989 — Harapan Medan; 1989 - 1992 — Harapan Medan; 1992 - 1998 — UISU, FISIP; 2007 - 2009 — USU, FH; 2020 - 2024 — USU, FISIP",,,,,,"2014 - 2024 — Yayasan Haji Anif, Sebagai: Ketua; 2018 - 2023 — Pemerintah Provinsi Sumatera Utara, Sebagai: Wakil Gubernur; Penghargaan; Tidak ada data"
maruli-siahaan,Maruli Siahaan,Anggota DPR RI 2024–2029,Partai Golongan Karya,SUMATERA UTARA I,"36530	",Komisi XIII,,maruli.siahaan@dpr.go.id,"Siborong-borong, 03 April 1961","1968 - 1973 — SD Lobu Siregar, -; 1973 - 1976 — SMP Siborongborong, -; 1976 - 1980 — STM Negeri II Medan, Elektronika; 1984 - 1997 — Universitas Darma Agung Medan, Ilmu Hukum; 2006 - 2008 — Universitas Jayabaya Jakarta, Magister Ilmu Hukum; 2011 - 2014 — Universitas Brawijaya Malang, Ilmu Administrasi",,,,,,"1982 - 1982 — BA KOMLEK POLDA SUMUT, Sebagai: ANGGOTA; 1982 - 1982 — BA POLSEK DELI TUA, Sebagai: ANGGOTA; 1982 - 1986 — BA POLSEK MEDAN BARU, Sebagai: ANGGOTA; 1986 - 1987 — BA SERSE POLTABES MS, Sebagai: PENYIDIK; 1987 - 1993 — KANIT PD SAT SERSE POLTABES MEDAN POLDA SUMUT, Sebagai: KANIT VC POLTABES MEDAN; 2001 - 2002 — KAPOLSEKTA MEDAN TELADAN POLTABES MEDAN POLDA SUMUT, Sebagai: KAPOLSEK; 2002 - 2002 — KAPOLSEKTA MEDAN BARU POLTABES MEDAN POLDA SUMUT, Sebagai: KAPOLSEKTA; 2002 - 2005 — KASAT RESKRIM POLTABES MEDAN POLDA SUMUT, Sebagai: KASAT RESKRIM; 2005 - 2005 — PAMA PODA SUMUT, Sebagai: -; 2005 - 2006 — KAUR MINDIK BID KORWAN PPNS BARESKRIM POLRI, Sebagai: BAG ADMINISTRASI; 2006 - 2006 — PAMEN POLDA NTT, Sebagai: KASAT I KRIMUM POLDA NTT; 2006 - 2008 — PAMEN POLDA JATIM, Sebagai: -; 2008 - 2008 — PANIT SAT IDIK DITNARKOBA POLDA JATIM, Sebagai: KANIT I DIRNARKOBA POLDA JATIM; 2008 - 2009 — POK ADVOKAT BIDBINKUM POLDA JATIM, Sebagai: TIM ADVOKAT POLDA JATIM; 2009 - 2015 — KASUBDIT IV/SUMDALING DITRESKRIMSUS POLDA JATIM, Sebagai: KEPALA SUBBIDANG; 2015 - 2015 — KASUBDIT IV/TIPIDTER DITRESKRIMSUS POLDA JATIM, Sebagai: KEPALA SUBBIDANG; 2015 - 2016 — WADIRRESKRIMSUS POLDA SUMUT, Sebagai: WAKIL DIREKTUR; 2016 - 2017 — WADIRRESKRIMUM POLDA SUMUT, Sebagai: WAKIL DIREKTUR; 2017 - 2018 — KABAGBINOPS ROOPS POLDA SUMUT, Sebagai: KEPALA BAGIAN; 2018 - 2019 — KABIDKUM POLDA SUMUT, Sebagai: KEPALA BIDANG UMUM; 2019 - 2019 — ANJAK DIV BIDKUM MABES POLRI, Sebagai: -; Penghargaan; 2003 — Penghargaan atas Pengungkapan Kasus Ganja 2 Ton,; 2004 — Penghargaan Pengungkapan Kasus BOM ,; 2004 — Penghargaan Pengungkapan Curas dengan Senjata Api,; 2005 — Penangkapan Panglima GAM dengan Menyita Senjata Api,; 2009 — Piagam Kesetuiaan 8 Tahun Oleh Kapolri,; 2009 — Piagam Kesetiaan 16 Tahun Oleh Kapolri,; 2009 — Piagam dan Lenacana Kesetiaan 24 Tahun Oleh Kappolri,"
lamhot-sinaga,Lamhot Sinaga,Anggota DPR RI 2024–2029,Partai Golongan Karya,SUMATERA UTARA II,158973,Komisi VII,Wakil Ketua Komisi ,lamhot.sinaga@dpr.go.id,"Lintongnihuta, 08 February 1973","1979 - 1985 — SD BINTANG KEJORA LINTONGNIHUTA; 1985 - 1988 — SMP RK YOSEP LINTONGHINUTA; 1988 - 1992 — SMA PRIBADI TANGERANG; 1992 - 1998 — UNIVERSITAS TIRTAYASA BANTEN , TEKNIK KIMIA",,,,,,"-; , Sebagai:; 2010 - 2014 — PTPN IV, Sebagai: KOMITE MANAGEMEN RESIKO DEWAN KOMISARIS; 2014 - 2020 — PT. XOIXE CONPIVAL, Sebagai: DIREKTUR; 2014 - 2020 — PT. XOIXE KONTRUKSI, Sebagai: DIREKTUR; 2014 - 2020 — PT. MEGA ASRI PRATAMA, Sebagai: DIREKTUR; 2018 - 2020 — PT. ESWARECO TAMA, Sebagai: KOMISARIS; 2019 - — DPR RI, Sebagai: ANGGOTA DPR RI; Penghargaan; 1996 — PENEMUAN CONDESAT RETURN SYSTEM DARI PENI,; 1998 — TIM PELAKSAAN PERHITUNGAN FISIK PERSEDIAAN PT. KRAKATAU STEEL ,; 1999 — PIAGAM PENGHARGAAN LOMBA KARYA TULIS ILMIAH POPULER TENTANG HAKI,"
andar-amin-harahap,Andar Amin Harahap,Anggota DPR RI 2024–2029,Partai Golongan Karya,SUMATERA UTARA II,140063,Komisi II,Baleg ,andar.harahap@dpr.go.id,"Padangsidimpuan, 26 January 1982","1989 - 1995 — SD NEGRI PADANGSIDIMPUAN; 1995 - 1998 — SMPN PADANGSIDIMPUAN; 1998 - 2001 — SMA NEGRI PADANGSIDIMPUAN, IPA; 2001 - 2005 — DEPARTEMEN DALAM NEGRI REPUBLIK INDONESIA SEKOLAH TINGGI ILMU PEMERINTAHAN DALAM NEGRI, ILMU PEMERINTAHAN; 2006 - 2008 — DEPARTEMEN DALAM NEGRI REPUBLIK INDONESIA INSTITUT PEMERINTAHAN DALAM NEGRI , ILMU PEMERINTAHAN",,,,,,"2005 - 2006 — KANTOR CAMAT ANGKOLA BARAT, Sebagai: SEKERTARIS LURAH; 2009 - 2012 — BKD PADANG LAWAS UTARA, Sebagai: KABID MUTASI; 2012 - 2012 — KESBANGPOL, Sebagai: PLT KEPALA DINAS; 2013 - 2018 — KANTOR WALIKOTA PADANGSIDIMPUAN , Sebagai: WALIKOTA; 2018 - 2023 — KANTOR BUPATI PADANG LAWAS UTARA , Sebagai: BUPATI; Penghargaan; ,; 2014 — BAKTI KOPRASI DAN USAHA KECIL DAN MENENGAH , KEMENTRIAN KOPRASI DAN USAHA KECIL DAN MENENGAH; 2016 — PEDULI HAM , KEMENTRIAN HUKUM DAN HAM; 2016 — ADHIKARYA PANGAN NUSANTARA , GUBERNUR SUMATERA UTARA; 2016 — KREASI PERKEMBANGAN RESEP , PEMERINTAH PROVINSI BADAN KETAHANAN PANGAN; 2016 — JUARA STAND TERBAIK III, PEMERINTAH BATAM INAFACT; 2016 — JUARA II PROGRAM TERPADU PENINGKATAN PERAN WANITA KELUARGA SEHAT , KEPALA BAPEMNAS DAN PEMDES PROVISI SUMATERA UTARA; 2018; SATYA LENCANA DAN PENGHARGAAN ADITYA KARYA MAHATYA YODHA AWARD 2018 (AKMY), KEMENTRIAN SOSIAL"
trinovi-khairani,Trinovi Khairani,Anggota DPR RI 2024–2029,Partai Golongan Karya,SUMATERA UTARA II,99419,Komisi I,BKSAP,trinovi.khairani@dpr.go.id,"Rantau Prapat, 16 November 1996",2002 - 2008 — SD Al-Azhar Medan; 2008 - 2011 — SMP Shafiyyatul Amaliyah; 2011 - 2014 — SMA Shafiyyatul Amaliyah; 2018 - 2020 — Lim Kok Wing University of Creative Technology,,,,,,Tidak ada data; Penghargaan
ahmad-doli-kurnia-tandjung,Ahmad Doli Kurnia Tandjung,Anggota DPR RI 2024–2029,Partai Golongan Karya,SUMATERA UTARA III,141846,Komisi II,Baleg ,ahmad.tandjung@dpr.go.id,"Medan, 26 July 1971","1978 - 1984 — SD BHAYANGKARI MEDAN; 1984 - 1987 — SMPN 1 MEDAN; 1987 - 1990 — SMAN 1 MEDAN; 1991 - 1996 — UNIVERSITAS PADJAJARAN, MATEMATIKA; 1997 - 2000 — INSITUT TEKNOLOGI BANDUNG, STUDI PEMBANGUNAN; 2014 - 2018 — UNIVERSITAS PADJAJARAN, ILMU POLITIK",,,,,,"1998 - 2000 — PT.Satyatama Ghaya Tara, Sebagai: Staf Ahli Direksi; 2002 - 2004 — Wakil Presiden RI, Sebagai: Asisten Staf Khusus; 2002 - 2019 — CV.Sari Surya Kurnia, Sebagai: Direktur Utama; 2002 - 2019 — PT.Kurnia Sari Abadi, Sebagai: Direktur Utama; 2003 - 2010 — Institute for Economic Policy and Good Governance, Sebagai: Direktur Program; 2004 - 2007 — Komisi VI DPR RI, Sebagai: Staf Ahli; 2005 - 2019 — Akbar Tandjung Institute, Sebagai: Direktur Seminar dan Pelatih; 2005 - 2019 — Surya Kurnia Group, Sebagai: Presiden Direktur; 2005 - 2019 — PT.Mutiara Kalam , Sebagai: Komisaris; 2006 - 2010 — PT.Balai Pustaka, Sebagai: Komisaris; 2010 - 2019 — PT.CLGS, Sebagai: Komisaris; Penghargaan; Tidak ada data"
delia-pratiwi-br-sitepu,Delia Pratiwi Br. Sitepu,Anggota DPR RI 2024–2029,Partai Golongan Karya,SUMATERA UTARA III,119047,Komisi IX,,delia.sitepu@dpr.go.id,"BINJAI, 30 March 1988","1994 - 2000 — AHMAD YANI BINJAI; 2000 - 2003 — AHMAD YANI BINJAI; 2003 - 2006 — AL-AZHAR MEDAN; 2006 - 2010 — UNIV. MUHAMMIDIYAH SUMATERA UTARA, HUKUM",,,,,,"2014 - 2019 — DPR RI, Sebagai: ANGGOTA; Penghargaan; 2017 — TOKOH PEDULI PEMUDA,"
